_id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma
48;to like;mögen;aktiv;Welcome;I;v;;;[('to', 'TO'), ('like', 'VB')];['to', 'like']
49;I like;Ich mag;aktiv;Welcome;I;ph;;;[('I', 'PRP'), ('like', 'VBP')];['I', 'like']
50;I don't like …;Ich mag … nicht.;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('like', 'VB'), ('…', 'VB')]";"['I', 'do', ""n't"", 'like', '…']"
51;football;Fußball;aktiv;Welcome;I;s;;ID1383699;[('football', 'NN')];['football']
52;to read;lesen;aktiv;Welcome;I;irr;*Read* the text.;;[('to', 'TO'), ('read', 'VB')];['to', 'read']
53;the;der/die/das;aktiv;Welcome;I;d;;;[('the', 'DT')];['the']
54;What do you like?;Was magst du?;aktiv;Welcome;I;ph;;;[('What', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('like', 'IN'), ('?', '.')];['What', 'do', 'you', 'like', '?']
55;What don't you like?;Was magst du nicht?;aktiv;Welcome;I;ph;;;"[('What', 'WP'), ('do', 'VBP'), (""n't"", 'RB'), ('you', 'PRP'), ('like', 'IN'), ('?', '.')]";"['What', 'do', ""n't"", 'you', 'like', '?']"
56;What about you?;Was ist mit dir?;aktiv;Welcome;I;ph;;;[('What', 'WP'), ('about', 'IN'), ('you', 'PRP'), ('?', '.')];['What', 'about', 'you', '?']
57;what;was;aktiv;Welcome;I;p;;;[('what', 'WP')];['what']
58;picture;Bild;aktiv;Welcome;I;s;;;[('picture', 'NN')];['picture']
59;What's … in English?;Was bedeutet … auf Englisch?;aktiv;Welcome;I;ph;"*What's* ""Bild"" *in English?* - *Picture*.";;"[('What', 'WP'), (""'s"", 'VBZ'), ('…', 'NN'), ('in', 'IN'), ('English', 'NNP'), ('?', '.')]";"['What', ""'s"", '…', 'in', 'English', '?']"
60;English;Englisch, englisch;aktiv;Welcome;I;s/a;;;[('English', 'JJ')];['English']
61;in English;auf Englisch;aktiv;Welcome;I;ph;;;[('in', 'IN'), ('English', 'NNP')];['in', 'English']
62;to write;schreiben;aktiv;Welcome;I;irr;;;[('to', 'TO'), ('write', 'VB')];['to', 'write']
63;to write down;aufschreiben, niederschreiben;aktiv;Welcome;I;irr;;;[('to', 'TO'), ('write', 'VB'), ('down', 'RP')];['to', 'write', 'down']
64;dog;Hund;aktiv;Welcome;I;s;;ID1383698;[('dog', 'NN')];['dog']
65;reading (no pl);Lesen;passiv;Welcome;I;s;;;[('reading', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['reading', '(', 'no', 'pl', ')']
66;phone number;Telefonnummer;passiv;Welcome;I;s;;;[('phone', 'NN'), ('number', 'NN')];['phone', 'number']
67;to find;finden;aktiv;Welcome;I;irr;Where is my bag? I can't *find* it.;;[('to', 'TO'), ('find', 'VB')];['to', 'find']
68;pet;Haustier;aktiv;Welcome;I;s;My *pet* is a dog.;;[('pet', 'NN')];['pet']
69;to play;spielen;aktiv;Welcome;I;v;;ID1383696;[('to', 'TO'), ('play', 'VB')];['to', 'play']
70;game;Spiel;aktiv;Welcome;I;s;;;[('game', 'NN')];['game']
71;Are you …?;Bist du …?;passiv;Welcome;I;ph;;;[('Are', 'NNP'), ('you', 'PRP'), ('…', 'CD'), ('?', '.')];['Are', 'you', '…', '?']
72;last name;Familienname;passiv;Welcome;I;s;;;[('last', 'JJ'), ('name', 'NN')];['last', 'name']
73;How many ...?;Wie viele ...?;passiv;Welcome;I;ph;;;[('How', 'WRB'), ('many', 'JJ'), ('...', ':'), ('?', '.')];['How', 'many', '...', '?']
74;pink;rosa, pink;aktiv;Welcome;I;a;;;[('pink', 'NN')];['pink']
75;thing;Ding, Gegenstand, Sache;aktiv;Welcome;I;s;;;[('thing', 'NN')];['thing']
76;purple;violett, lila;aktiv;Welcome;I;a;;;[('purple', 'NN')];['purple']
77;red;rot;aktiv;Welcome;I;a;;;[('red', 'JJ')];['red']
78;orange;orange, orange(farben);aktiv;Welcome;I;s/a;;;[('orange', 'NN')];['orange']
79;grey;grau;aktiv;Welcome;I;a;;;[('grey', 'NN')];['grey']
80;yellow;gelb;aktiv;Welcome;I;a;;;[('yellow', 'NN')];['yellow']
81;green;grün;aktiv;Welcome;I;a;;;[('green', 'JJ')];['green']
82;black;schwarz;aktiv;Welcome;I;a;;;[('black', 'JJ')];['black']
83;white;weiß;aktiv;Welcome;I;a;;;[('white', 'JJ')];['white']
84;brown;braun;aktiv;Welcome;I;a;;;[('brown', 'NN')];['brown']
85;blue;blau;aktiv;Welcome;I;a;;;[('blue', 'NN')];['blue']
86;What are your hobbies?;Was sind deine Hobbies?;passiv;Welcome;I;ph;;;[('What', 'WP'), ('are', 'VBP'), ('your', 'PRP$'), ('hobbies', 'NNS'), ('?', '.')];['What', 'are', 'your', 'hobby', '?']
87;music;Musik;passiv;Welcome;I;s;;;[('music', 'NN')];['music']
88;dancing (no pl);Tanzen;passiv;Welcome;I;s;;;[('dancing', 'VBG'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['dancing', '(', 'no', 'pl', ')']
89;cat;Katze;aktiv;Welcome;I;s;*cat*;ID1383697;[('cat', 'NN')];['cat']
90;better than;besser als;passiv;Welcome;I;ph;;;[('better', 'JJR'), ('than', 'IN')];['better', 'than']
91;with;mit;aktiv;Welcome;I;pr;;;[('with', 'IN')];['with']
92;shut up (informal);Halt deinen Mund!;passiv;Welcome;I;ph;;;[('shut', 'VBN'), ('up', 'RP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['shut', 'up', '(', 'informal', ')']
93;I'm at Camden School for Girls.;Ich bin auf der Camden School for Girls.;passiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('at', 'IN'), ('Camden', 'NNP'), ('School', 'NNP'), ('for', 'IN'), ('Girls', 'NNP'), ('.', '.')]";"['I', ""'m"", 'at', 'Camden', 'School', 'for', 'Girls', '.']"
94;school;Schule;aktiv;Welcome;I;s;;;[('school', 'NN')];['school']
95;for;für;aktiv;Welcome;I;pr;;;[('for', 'IN')];['for']
96;boy;Junge;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;[('boy', 'NN')];['boy']
97;girl;Mädchen;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;[('girl', 'NN')];['girl']
98;to go to school together;zusammen zur Schule gehen;passiv;Welcome;I;ph;;;[('to', 'TO'), ('go', 'VB'), ('to', 'TO'), ('school', 'NN'), ('together', 'RB')];['to', 'go', 'to', 'school', 'together']
99;he's (= he is);er ist;passiv;Welcome;I;ph;;;"[('he', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['he', ""'s"", '(', '=', 'he', 'is', ')']"
100;friend;Freund/in;aktiv;Welcome;I;s;;;[('friend', 'NN')];['friend']
101;yes;ja;aktiv;Welcome;I;av;*yes* <> *no*;;[('yes', 'NNS')];['yes']
102;his;sein(e, r);aktiv;Welcome;I;d;#unter Jung Illu# *His* name is Alex.;ID1383695;[('his', 'PRP$')];['his']
103;her;ihr(e, r);aktiv;Welcome;I;d;# unter Mädchen Illu# *Her* name is Jo.;ID1383695;[('her', 'PRP$')];['her']
104;no;nein;aktiv;Welcome;I;av;;;[('no', 'DT')];['no']
105;So he isn't a baby like George.;Also ist er kein Baby wie George.;passiv;Welcome;I;ph;;;"[('So', 'RB'), ('he', 'PRP'), ('is', 'VBZ'), (""n't"", 'RB'), ('a', 'DT'), ('baby', 'NN'), ('like', 'IN'), ('George', 'NNP'), ('.', '.')]";"['So', 'he', 'is', ""n't"", 'a', 'baby', 'like', 'George', '.']"
106;like;wie;passiv;Welcome;I;pr;;;[('like', 'IN')];['like']
107;on;auf;aktiv;Welcome;I;pr;;;[('on', 'IN')];['on']
108;bed;Bett;aktiv;Welcome;I;s;*bed*;ID1348821;[('bed', 'NN')];['bed']
109;you're (= you are);hier: du bist;passiv;Welcome;I;ph;;;"[('you', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('you', 'PRP'), ('are', 'VBP'), (')', ')')]";"['you', ""'re"", '(', '=', 'you', 'are', ')']"
110;colour;Farbe;aktiv;Welcome;I;s;;;[('colour', 'NN')];['colour']
111;are;hier: sind;aktiv;Welcome;I;irr;;;[('are', 'VBP')];['are']
112;example;Beispiel;aktiv;Welcome;I;s;;;[('example', 'NN')];['example']
113;for example;zum Beispiel;aktiv;Welcome;I;ph;;;[('for', 'IN'), ('example', 'NN')];['for', 'example']
114;at school;in der Schule;passiv;1/A;I;ph;;;[('at', 'IN'), ('school', 'NN')];['at', 'school']
115;Monday;Montag;aktiv;1/A;I;s;;;[('Monday', 'NNP')];['Monday']
116;what's (= what is);was ist;aktiv;1/A1;I;ph;*What's* your favourite sport?;;"[('what', 'WP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('what', 'WP'), ('is', 'VBZ'), (')', ')')]";"['what', ""'s"", '(', '=', 'what', 'is', ')']"
117;school bag;Schultasche;aktiv;1/A1;I;s;*school bag*;ID1376970;[('school', 'NN'), ('bag', 'NN')];['school', 'bag']
118;there;dort, da;aktiv;1/A1;I;av;;;[('there', 'RB')];['there']
119;there is/are;es gibt, da ist, da sind;aktiv;1/A1;I;ph;;;[('there', 'EX'), ('is/are', 'NN')];['there', 'is/are']
120;pen;Stift;aktiv;1/A1;I;s;*pen*;ID1348789;[('pen', 'VB')];['pen']
121;there's (= there is);es gibt, da ist;aktiv;1/A1;I;ph;;;"[('there', 'EX'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('there', 'EX'), ('is', 'VBZ'), (')', ')')]";"['there', ""'s"", '(', '=', 'there', 'is', ')']"
122;pencil case;Federmäppchen;aktiv;1/A1;I;s;*pencil case*;ID1310567;[('pencil', 'NN'), ('case', 'NN')];['pencil', 'case']
123;paper (no pl);Papier;aktiv;1/A1;I;s;;;[('paper', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['paper', '(', 'no', 'pl', ')']
124;piece of paper;Blatt Papier;aktiv;1/A1;I;ph;*piece of paper*;ID1348825;[('piece', 'NN'), ('of', 'IN'), ('paper', 'NN')];['piece', 'of', 'paper']
125;pencil;Bleistift;aktiv;1/A1;I;s;*pencil*;ID1329997;[('pencil', 'NN')];['pencil']
126;scissors (only pl);Schere;aktiv;1/A1;I;s;*scissors*;ID1348783;[('scissors', 'NNS'), ('(', '('), ('only', 'RB'), ('pl', 'NN'), (')', ')')];['scissors', '(', 'only', 'pl', ')']
127;glue (no pl);Klebstoff;aktiv;1/A1;I;s;*glue*;ID1348824;[('glue', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['glue', '(', 'no', 'pl', ')']
128;ruler;Lineal;aktiv;1/A1;I;s;*ruler*;ID1329998;[('ruler', 'NN')];['ruler']
129;word;Wort;aktiv;1/A2;I;s;"My favourite *word* is ""sandwich"".";;[('word', 'NN')];['word']
130;again;wieder, noch einmal;aktiv;1/A2;I;av;;;[('again', 'RB')];['again']
131;it's (= it is);es ist;aktiv;1/A2;I;ph;;;"[('it', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['it', ""'s"", '(', '=', 'it', 'is', ')']"
132;day;Tag;aktiv;1/A2;I;s;a year = 365 *days*;;[('day', 'NN')];['day']
133;homework planner;Hausaufgabenheft;passiv;1/A2;I;s;;;[('homework', 'NN'), ('planner', 'NN')];['homework', 'planner']
134;where;wo;aktiv;1/A2;I;av;;;[('where', 'WRB')];['where']
135;where's (= where is);wo ist;aktiv;1/A2;I;ph;;;"[('where', 'WRB'), (""'s"", 'POS'), ('(', '('), ('=', 'NN'), ('where', 'WRB'), ('is', 'VBZ'), (')', ')')]";"['where', ""'s"", '(', '=', 'where', 'is', ')']"
136;Where is …? / Where are …?;Wo ist …? / Wo sind …?;aktiv;1/A2;I;ph;*Where's ... ? = Where is ... ?*;;[('Where', 'WRB'), ('is', 'VBZ'), ('…', 'VBN'), ('?', '.'), ('/', 'NN'), ('Where', 'WRB'), ('are', 'VBP'), ('…', 'VBN'), ('?', '.')];['Where', 'is', '…', '?', '/', 'Where', 'are', '…', '?']
137;mobile (= mobile phone);Mobiltelefon, Handy;aktiv;1/A2;I;s;*mobile phone*;ID1348782;[('mobile', 'NN'), ('(', '('), ('=', 'JJ'), ('mobile', 'IN'), ('phone', 'NN'), (')', ')')];['mobile', '(', '=', 'mobile', 'phone', ')']
138;pocket money;Taschengeld;passiv;1/A2;I;s;;;[('pocket', 'NN'), ('money', 'NN')];['pocket', 'money']
139;that;das, der/die/das;aktiv;1/A2;I;p;;;[('that', 'IN')];['that']
140;that's (= that is);das ist;aktiv;1/A2;I;ph;;;"[('that', 'DT'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('that', 'DT'), ('is', 'VBZ'), (')', ')')]";"['that', ""'s"", '(', '=', 'that', 'is', ')']"
141;not;nicht;aktiv;1/A2;I;av;That's not *funny*!;;[('not', 'RB')];['not']
142;that's not (= that is not);das ist nicht;aktiv;1/A2;I;ph;;;"[('that', 'DT'), (""'s"", 'VBZ'), ('not', 'RB'), ('(', '('), ('=', 'VB'), ('that', 'DT'), ('is', 'VBZ'), ('not', 'RB'), (')', ')')]";"['that', ""'s"", 'not', '(', '=', 'that', 'is', 'not', ')']"
143;funny;lustig, witzig, komisch;aktiv;1/A2;I;a;;;[('funny', 'NN')];['funny']
144;book;Buch;aktiv;1/A2;I;s;*book*;ID1330000;[('book', 'NN')];['book']
145;apple;Apfel;aktiv;1/A2;I;s;;;[('apple', 'NN')];['apple']
146;now;jetzt, nun;aktiv;1/A2;I;av;;;[('now', 'RB')];['now']
147;bag;Tasche;aktiv;1/A2;I;s;;;[('bag', 'NN')];['bag']
148;heavy;schwer;passiv;1/A2;I;a;;;[('heavy', 'JJ')];['heavy']
149;or;oder;aktiv;1/A4;I;k;;;[('or', 'CC')];['or']
150;room;Zimmer, Raum;aktiv;1/A4;I;s;;;[('room', 'NN')];['room']
151;right;richtig;aktiv;1/A4;I;a;*right* <> *wrong*;;[('right', 'NN')];['right']
152;wrong;FALSCH;aktiv;1/A4;I;a;;;[('wrong', 'JJ')];['wrong']
153;next to;neben;aktiv;1/A4;I;pr;*next to*;ID1329975;[('next', 'JJ'), ('to', 'TO')];['next', 'to']
154;in;in;aktiv;1/A4;I;pr;*in*;ID1329972;[('in', 'IN')];['in']
155;under;unter;aktiv;1/A4;I;pr;*under*;ID1329974;[('under', 'IN')];['under']
156;in front of;vor;aktiv;1/A4;I;pr;*in front of*;ID1329976;[('in', 'IN'), ('front', 'NN'), ('of', 'IN')];['in', 'front', 'of']
157;behind;hinter;aktiv;1/A4;I;pr;*behind*;ID1329978;[('behind', 'IN')];['behind']
158;between;zwischen;aktiv;1/A4;I;pr;*between*;ID1329977;[('between', 'IN')];['between']
159;exercise book;Heft;aktiv;1/A4;I;s;;;[('exercise', 'NN'), ('book', 'NN')];['exercise', 'book']
160;first;erste(r, s);passiv;1/B;I;a;;;[('first', 'RB')];['first']
161;at;auf, an, in, bei;aktiv;1/B1;I;pr;George is *at* William Ellis School.;;[('at', 'IN')];['at']
162;you're (= you are);du bist, ihr seid, Sie sind;aktiv;1/B1;I;ph;;;"[('you', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('you', 'PRP'), ('are', 'VBP'), (')', ')')]";"['you', ""'re"", '(', '=', 'you', 'are', ')']"
163;late;(zu) spät;aktiv;1/B1;I;a;;ID1389838;[('late', 'RB')];['late']
164;dad (informal);Papa, Vati;aktiv;1/B1;I;s;;;[('dad', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')')];['dad', '(', 'informal', ')']
165;your;dein(e), euer/eure, Ihr(e);passiv;1/B1;I;d;;;[('your', 'PRP$')];['your']
166;tie;Krawatte;passiv;1/B1;I;s;;;[('tie', 'NN')];['tie']
167;bye (informal)/goodbye;tschüss;aktiv;1/B1;I;i;;;[('bye', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')'), ('/goodbye', 'NN')];['bye', '(', 'informal', ')', '/goodbye']
168;sorry;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;i;;;[('sorry', 'NN')];['sorry']
169;(I'm) sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;*Sorry* I'm late.;;"[('(', '('), ('I', 'PRP'), (""'m"", 'VBP'), (')', ')'), ('sorry', 'NN'), ('.', '.')]";"['(', 'I', ""'m"", ')', 'sorry', '.']"
170;I'm sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('sorry', 'JJ'), ('.', '.')]";"['I', ""'m"", 'sorry', '.']"
171;card;Karte;aktiv;1/B1;I;s;;;[('card', 'NN')];['card']
172;great;groß, riesig, großartig, wunderbar;aktiv;1/B1;I;a;;;[('great', 'JJ')];['great']
173;thanks;Danke;aktiv;1/B1;I;s;;;[('thanks', 'NNS')];['thanks']
174;thank you;Danke;aktiv;1/B1;I;ph;You can have my pen. - *Thank you*.;;[('thank', 'NN'), ('you', 'PRP')];['thank', 'you']
175;What about ...? (informal);Was ist mit ...?, Wie wäre es mit ...?;aktiv;1/B1;I;ph;*What about* a game of football?;;[('What', 'WP'), ('about', 'IN'), ('...', ':'), ('?', '.'), ('(', '('), ('informal', 'JJ'), (')', ')')];['What', 'about', '...', '?', '(', 'informal', ')']
176;after;nach;aktiv;1/B1;I;pr;;;[('after', 'IN')];['after']
177;idea;Idee, Einfall;aktiv;1/B1;I;s;That's a great *idea*!;;[('idea', 'NN')];['idea']
178;isn't (= is not);ist nicht;aktiv;1/B1;I;ph;George *isn't* 18.;;"[('is', 'VBZ'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('is', 'VBZ'), ('not', 'RB'), (')', ')')]";"['is', ""n't"", '(', '=', 'is', 'not', ')']"
179;Dad (informal);Papa, Vati;aktiv;1/B1;I;s;;;[('Dad', 'NNP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['Dad', '(', 'informal', ')']
180;to be;sein;passiv;1/B4;I;irr;;;[('to', 'TO'), ('be', 'VB')];['to', 'be']
181;number;Zahl, Ziffer, Nummer;aktiv;1/B4;I;s;1, 4, 7, 10 are *numbers*.;;[('number', 'NN')];['number']
182;seven;sieben;aktiv;1/B5;I;a;;;[('seven', 'CD')];['seven']
183;one;eins, ein(e, er, es);aktiv;1/B5;I;a;;;[('one', 'CD')];['one']
184;two;zwei;aktiv;1/B5;I;a;;;[('two', 'CD')];['two']
185;three;drei;aktiv;1/B5;I;a;;;[('three', 'CD')];['three']
186;four;vier;aktiv;1/B5;I;a;;;[('four', 'CD')];['four']
187;five;fünf;aktiv;1/B5;I;a;;;[('five', 'CD')];['five']
188;six;sechs;aktiv;1/B5;I;a;;;[('six', 'CD')];['six']
189;eight;acht;aktiv;1/B5;I;a;;;[('eight', 'CD')];['eight']
190;nine;neun;aktiv;1/B5;I;a;;;[('nine', 'CD')];['nine']
191;ten;zehn;aktiv;1/B5;I;a;;;[('ten', 'NNS')];['ten']
192;eleven;elf;aktiv;1/B5;I;a;;;[('eleven', 'RB')];['eleven']
193;twelve;zwölf;aktiv;1/B5;I;a;;;[('twelve', 'NN')];['twelve']
194;to say;sagen;aktiv;1/B6;I;irr;;;[('to', 'TO'), ('say', 'VB')];['to', 'say']
195;about;über, von;aktiv;1/B6;I;pr;a book *about* London.;;[('about', 'IN')];['about']
196;Are you OK?;Alles in Ordnung?;passiv;1/B6;I;ph;;;[('Are', 'NNP'), ('you', 'PRP'), ('OK', 'IN'), ('?', '.')];['Are', 'you', 'OK', '?']
197;I'm (= I am);ich bin;passiv;1/B6;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('(', '('), ('=', 'NN'), ('I', 'PRP'), ('am', 'VBP'), (')', ')')]";"['I', ""'m"", '(', '=', 'I', 'am', ')']"
198;new;neu;aktiv;1/B6;I;a;*new* <> old;;[('new', 'JJ')];['new']
199;here;hier;aktiv;1/B6;I;av;;;[('here', 'RB')];['here']
200;went;ging;passiv;1/B6;I;irr;;;[('went', 'VBD')];['went']
201;to;in, nach, zu, an;passiv;1/B6;I;pr;;;[('to', 'TO')];['to']
