Id;Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;Tagged;Lemma;SentId
40;twin;Zwilling;passiv;Welcome;I;s;;;[('twin', 'NN')];['twin'];['26']
41;Elephants are my favourite animals.;Elefanten sind meine Lieblingstiere.;aktiv;Welcome;I;ph;;;[('Elephants', 'NNS'), ('are', 'VBP'), ('my', 'PRP$'), ('favourite', 'JJ'), ('animals', 'NNS'), ('.', '.')];['Elephants', 'are', 'my', 'favourite', 'animal', '.'];None
42;elephant;Elefant;aktiv;Welcome;I;s;;;[('elephant', 'NN')];['elephant'];['16', '17', '71']
43;My favourite … is;Mein Lieblings… ist;aktiv;Welcome;I;ph;;;[('My', 'PRP$'), ('favourite', 'JJ'), ('…', 'NN'), ('is', 'VBZ')];['My', 'favourite', '…', 'is'];['37', '38']
44;favourite;Lieblings-;aktiv;Welcome;I;a;;;[('favourite', 'NN')];['favourite'];['19', '37', '38']
45;animal;Tier;aktiv;Welcome;I;s;;;[('animal', 'NN')];['animal'];['19']
46;boring;langweilig;passiv;Welcome;I;a;;;[('boring', 'NN')];['boring'];None
47;don't (= do not);nicht tun, nicht machen;aktiv;Welcome;I;ph;;;"[('do', 'VBP'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('do', 'VBP'), ('not', 'RB'), (')', ')')]";"['do', ""n't"", '(', '=', 'do', 'not', ')']";None
48;to like;mögen;aktiv;Welcome;I;v;;;[('to', 'TO'), ('like', 'VB')];['to', 'like'];['17', '20', '34', '35', '51']
49;I like;Ich mag;aktiv;Welcome;I;ph;;;[('I', 'PRP'), ('like', 'VBP')];['I', 'like'];['17', '20', '34', '35', '51']
50;I don't like …;Ich mag … nicht.;aktiv;Welcome;I;ph;;;"[('I', 'PRP'), ('do', 'VBP'), (""n't"", 'RB'), ('like', 'VB'), ('…', 'VB')]";"['I', 'do', ""n't"", 'like', '…']";None
51;football;Fußball;aktiv;Welcome;I;s;;ID1383699;[('football', 'NN')];['football'];['20', '55', '56', '64']
52;to read;lesen;aktiv;Welcome;I;irr;*Read* the text.;;[('to', 'TO'), ('read', 'VB')];['to', 'read'];None
53;the;der/die/das;aktiv;Welcome;I;d;;;[('the', 'DT')];['the'];['5', '44', '71']
54;What do you like?;Was magst du?;aktiv;Welcome;I;ph;;;[('What', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('like', 'IN'), ('?', '.')];['What', 'do', 'you', 'like', '?'];None
55;What don't you like?;Was magst du nicht?;aktiv;Welcome;I;ph;;;"[('What', 'WP'), ('do', 'VBP'), (""n't"", 'RB'), ('you', 'PRP'), ('like', 'IN'), ('?', '.')]";"['What', 'do', ""n't"", 'you', 'like', '?']";None
56;What about you?;Was ist mit dir?;aktiv;Welcome;I;ph;;;[('What', 'WP'), ('about', 'IN'), ('you', 'PRP'), ('?', '.')];['What', 'about', 'you', '?'];None
57;what;was;aktiv;Welcome;I;p;;;[('what', 'WP')];['what'];None
58;picture;Bild;aktiv;Welcome;I;s;;;[('picture', 'NN')];['picture'];None
59;What's … in English?;Was bedeutet … auf Englisch?;aktiv;Welcome;I;ph;"*What's* ""Bild"" *in English?* - *Picture*.";;"[('What', 'WP'), (""'s"", 'VBZ'), ('…', 'NN'), ('in', 'IN'), ('English', 'NNP'), ('?', '.')]";"['What', ""'s"", '…', 'in', 'English', '?']";None
60;English;Englisch, englisch;aktiv;Welcome;I;s/a;;;[('English', 'JJ')];['English'];None
61;in English;auf Englisch;aktiv;Welcome;I;ph;;;[('in', 'IN'), ('English', 'NNP')];['in', 'English'];None
62;to write;schreiben;aktiv;Welcome;I;irr;;;[('to', 'TO'), ('write', 'VB')];['to', 'write'];None
63;to write down;aufschreiben, niederschreiben;aktiv;Welcome;I;irr;;;[('to', 'TO'), ('write', 'VB'), ('down', 'RP')];['to', 'write', 'down'];None
64;dog;Hund;aktiv;Welcome;I;s;;ID1383698;[('dog', 'NN')];['dog'];['5', '34', '55']
65;reading (no pl);Lesen;passiv;Welcome;I;s;;;[('reading', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['reading', '(', 'no', 'pl', ')'];['36']
66;phone number;Telefonnummer;passiv;Welcome;I;s;;;[('phone', 'NN'), ('number', 'NN')];['phone', 'number'];None
67;to find;finden;aktiv;Welcome;I;irr;Where is my bag? I can't *find* it.;;[('to', 'TO'), ('find', 'VB')];['to', 'find'];None
68;pet;Haustier;aktiv;Welcome;I;s;My *pet* is a dog.;;[('pet', 'NN')];['pet'];None
69;to play;spielen;aktiv;Welcome;I;v;;ID1383696;[('to', 'TO'), ('play', 'VB')];['to', 'play'];['55', '56']
70;game;Spiel;aktiv;Welcome;I;s;;;[('game', 'NN')];['game'];None
71;Are you …?;Bist du …?;passiv;Welcome;I;ph;;;[('Are', 'NNP'), ('you', 'PRP'), ('…', 'CD'), ('?', '.')];['Are', 'you', '…', '?'];['39']
72;last name;Familienname;passiv;Welcome;I;s;;;[('last', 'JJ'), ('name', 'NN')];['last', 'name'];['46']
73;How many ...?;Wie viele ...?;passiv;Welcome;I;ph;;;[('How', 'WRB'), ('many', 'JJ'), ('...', ':'), ('?', '.')];['How', 'many', '...', '?'];['47']
74;pink;rosa, pink;aktiv;Welcome;I;a;;;[('pink', 'NN')];['pink'];['47']
75;thing;Ding, Gegenstand, Sache;aktiv;Welcome;I;s;;;[('thing', 'NN')];['thing'];['47']
76;purple;violett, lila;aktiv;Welcome;I;a;;;[('purple', 'NN')];['purple'];None
77;red;rot;aktiv;Welcome;I;a;;;[('red', 'JJ')];['red'];None
78;orange;orange, orange(farben);aktiv;Welcome;I;s/a;;;[('orange', 'NN')];['orange'];None
79;grey;grau;aktiv;Welcome;I;a;;;[('grey', 'NN')];['grey'];None
80;yellow;gelb;aktiv;Welcome;I;a;;;[('yellow', 'NN')];['yellow'];None
81;green;grün;aktiv;Welcome;I;a;;;[('green', 'JJ')];['green'];None
82;black;schwarz;aktiv;Welcome;I;a;;;[('black', 'JJ')];['black'];None
83;white;weiß;aktiv;Welcome;I;a;;;[('white', 'JJ')];['white'];None
84;brown;braun;aktiv;Welcome;I;a;;;[('brown', 'NN')];['brown'];None
85;blue;blau;aktiv;Welcome;I;a;;;[('blue', 'NN')];['blue'];None
86;What are your hobbies?;Was sind deine Hobbies?;passiv;Welcome;I;ph;;;[('What', 'WP'), ('are', 'VBP'), ('your', 'PRP$'), ('hobbies', 'NNS'), ('?', '.')];['What', 'are', 'your', 'hobby', '?'];['48']
87;music;Musik;passiv;Welcome;I;s;;;[('music', 'NN')];['music'];None
88;dancing (no pl);Tanzen;passiv;Welcome;I;s;;;[('dancing', 'VBG'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['dancing', '(', 'no', 'pl', ')'];None
89;cat;Katze;aktiv;Welcome;I;s;*cat*;ID1383697;[('cat', 'NN')];['cat'];['50', '51', '54']
90;better than;besser als;passiv;Welcome;I;ph;;;[('better', 'JJR'), ('than', 'IN')];['better', 'than'];['54']
91;with;mit;aktiv;Welcome;I;pr;;;[('with', 'IN')];['with'];['2', '43', '55']
92;shut up (informal);Halt deinen Mund!;passiv;Welcome;I;ph;;;[('shut', 'VBN'), ('up', 'RP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['shut', 'up', '(', 'informal', ')'];None
93;I'm at Camden School for Girls.;Ich bin auf der Camden School for Girls.;passiv;Welcome;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('at', 'IN'), ('Camden', 'NNP'), ('School', 'NNP'), ('for', 'IN'), ('Girls', 'NNP'), ('.', '.')]";"['I', ""'m"", 'at', 'Camden', 'School', 'for', 'Girls', '.']";None
94;school;Schule;aktiv;Welcome;I;s;;;[('school', 'NN')];['school'];None
95;for;für;aktiv;Welcome;I;pr;;;[('for', 'IN')];['for'];['59']
96;boy;Junge;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;[('boy', 'NN')];['boy'];None
97;girl;Mädchen;aktiv;Welcome;I;s;*girl* <> *boy*;ID1383701;[('girl', 'NN')];['girl'];None
98;to go to school together;zusammen zur Schule gehen;passiv;Welcome;I;ph;;;[('to', 'TO'), ('go', 'VB'), ('to', 'TO'), ('school', 'NN'), ('together', 'RB')];['to', 'go', 'to', 'school', 'together'];None
99;he's (= he is);er ist;passiv;Welcome;I;ph;;;"[('he', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['he', ""'s"", '(', '=', 'he', 'is', ')']";['66']
100;friend;Freund/in;aktiv;Welcome;I;s;;;[('friend', 'NN')];['friend'];['63']
101;yes;ja;aktiv;Welcome;I;av;*yes* <> *no*;;[('yes', 'NNS')];['yes'];None
102;his;sein(e, r);aktiv;Welcome;I;d;#unter Jung Illu# *His* name is Alex.;ID1383695;[('his', 'PRP$')];['his'];None
103;her;ihr(e, r);aktiv;Welcome;I;d;# unter Mädchen Illu# *Her* name is Jo.;ID1383695;[('her', 'PRP$')];['her'];None
104;no;nein;aktiv;Welcome;I;av;;;[('no', 'DT')];['no'];['67']
105;So he isn't a baby like George.;Also ist er kein Baby wie George.;passiv;Welcome;I;ph;;;"[('So', 'RB'), ('he', 'PRP'), ('is', 'VBZ'), (""n't"", 'RB'), ('a', 'DT'), ('baby', 'NN'), ('like', 'IN'), ('George', 'NNP'), ('.', '.')]";"['So', 'he', 'is', ""n't"", 'a', 'baby', 'like', 'George', '.']";None
106;like;wie;passiv;Welcome;I;pr;;;[('like', 'IN')];['like'];['17', '20', '34', '35', '51']
107;on;auf;aktiv;Welcome;I;pr;;;[('on', 'IN')];['on'];['41', '42', '43', '71']
108;bed;Bett;aktiv;Welcome;I;s;*bed*;ID1348821;[('bed', 'NN')];['bed'];['71']
109;you're (= you are);hier: du bist;passiv;Welcome;I;ph;;;"[('you', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('you', 'PRP'), ('are', 'VBP'), (')', ')')]";"['you', ""'re"", '(', '=', 'you', 'are', ')']";['6', '18']
110;colour;Farbe;aktiv;Welcome;I;s;;;[('colour', 'NN')];['colour'];None
111;are;hier: sind;aktiv;Welcome;I;irr;;;[('are', 'VBP')];['are'];['3', '6', '18', '19', '48', '54']
112;example;Beispiel;aktiv;Welcome;I;s;;;[('example', 'NN')];['example'];None
113;for example;zum Beispiel;aktiv;Welcome;I;ph;;;[('for', 'IN'), ('example', 'NN')];['for', 'example'];None
114;at school;in der Schule;passiv;1/A;I;ph;;;[('at', 'IN'), ('school', 'NN')];['at', 'school'];None
115;Monday;Montag;aktiv;1/A;I;s;;;[('Monday', 'NNP')];['Monday'];None
116;what's (= what is);was ist;aktiv;1/A1;I;ph;*What's* your favourite sport?;;"[('what', 'WP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('what', 'WP'), ('is', 'VBZ'), (')', ')')]";"['what', ""'s"", '(', '=', 'what', 'is', ')']";None
117;school bag;Schultasche;aktiv;1/A1;I;s;*school bag*;ID1376970;[('school', 'NN'), ('bag', 'NN')];['school', 'bag'];['72', '73', '74']
118;there;dort, da;aktiv;1/A1;I;av;;;[('there', 'RB')];['there'];None
119;there is/are;es gibt, da ist, da sind;aktiv;1/A1;I;ph;;;[('there', 'EX'), ('is/are', 'NN')];['there', 'is/are'];None
120;pen;Stift;aktiv;1/A1;I;s;*pen*;ID1348789;[('pen', 'VB')];['pen'];['73', '81']
121;there's (= there is);es gibt, da ist;aktiv;1/A1;I;ph;;;"[('there', 'EX'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('there', 'EX'), ('is', 'VBZ'), (')', ')')]";"['there', ""'s"", '(', '=', 'there', 'is', ')']";None
122;pencil case;Federmäppchen;aktiv;1/A1;I;s;*pencil case*;ID1310567;[('pencil', 'NN'), ('case', 'NN')];['pencil', 'case'];None
123;paper (no pl);Papier;aktiv;1/A1;I;s;;;[('paper', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['paper', '(', 'no', 'pl', ')'];['75']
124;piece of paper;Blatt Papier;aktiv;1/A1;I;ph;*piece of paper*;ID1348825;[('piece', 'NN'), ('of', 'IN'), ('paper', 'NN')];['piece', 'of', 'paper'];None
125;pencil;Bleistift;aktiv;1/A1;I;s;*pencil*;ID1329997;[('pencil', 'NN')];['pencil'];None
126;scissors (only pl);Schere;aktiv;1/A1;I;s;*scissors*;ID1348783;[('scissors', 'NNS'), ('(', '('), ('only', 'RB'), ('pl', 'NN'), (')', ')')];['scissors', '(', 'only', 'pl', ')'];None
127;glue (no pl);Klebstoff;aktiv;1/A1;I;s;*glue*;ID1348824;[('glue', 'NN'), ('(', '('), ('no', 'DT'), ('pl', 'NN'), (')', ')')];['glue', '(', 'no', 'pl', ')'];['75']
128;ruler;Lineal;aktiv;1/A1;I;s;*ruler*;ID1329998;[('ruler', 'NN')];['ruler'];None
129;word;Wort;aktiv;1/A2;I;s;"My favourite *word* is ""sandwich"".";;[('word', 'NN')];['word'];None
130;again;wieder, noch einmal;aktiv;1/A2;I;av;;;[('again', 'RB')];['again'];['76']
131;it's (= it is);es ist;aktiv;1/A2;I;ph;;;"[('it', 'PRP'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), (')', ')')]";"['it', ""'s"", '(', '=', 'it', 'is', ')']";None
132;day;Tag;aktiv;1/A2;I;s;a year = 365 *days*;;[('day', 'NN')];['day'];None
133;homework planner;Hausaufgabenheft;passiv;1/A2;I;s;;;[('homework', 'NN'), ('planner', 'NN')];['homework', 'planner'];['75']
134;where;wo;aktiv;1/A2;I;av;;;[('where', 'WRB')];['where'];None
135;where's (= where is);wo ist;aktiv;1/A2;I;ph;;;"[('where', 'WRB'), (""'s"", 'POS'), ('(', '('), ('=', 'NN'), ('where', 'WRB'), ('is', 'VBZ'), (')', ')')]";"['where', ""'s"", '(', '=', 'where', 'is', ')']";None
136;Where is …? / Where are …?;Wo ist …? / Wo sind …?;aktiv;1/A2;I;ph;*Where's ... ? = Where is ... ?*;;[('Where', 'WRB'), ('is', 'VBZ'), ('…', 'VBN'), ('?', '.'), ('/', 'NN'), ('Where', 'WRB'), ('are', 'VBP'), ('…', 'VBN'), ('?', '.')];['Where', 'is', '…', '?', '/', 'Where', 'are', '…', '?'];None
137;mobile (= mobile phone);Mobiltelefon, Handy;aktiv;1/A2;I;s;*mobile phone*;ID1348782;[('mobile', 'NN'), ('(', '('), ('=', 'JJ'), ('mobile', 'IN'), ('phone', 'NN'), (')', ')')];['mobile', '(', '=', 'mobile', 'phone', ')'];['77']
138;pocket money;Taschengeld;passiv;1/A2;I;s;;;[('pocket', 'NN'), ('money', 'NN')];['pocket', 'money'];['77']
139;that;das, der/die/das;aktiv;1/A2;I;p;;;[('that', 'IN')];['that'];None
140;that's (= that is);das ist;aktiv;1/A2;I;ph;;;"[('that', 'DT'), (""'s"", 'VBZ'), ('(', '('), ('=', 'VB'), ('that', 'DT'), ('is', 'VBZ'), (')', ')')]";"['that', ""'s"", '(', '=', 'that', 'is', ')']";None
141;not;nicht;aktiv;1/A2;I;av;That's not *funny*!;;[('not', 'RB')];['not'];['78', '86']
142;that's not (= that is not);das ist nicht;aktiv;1/A2;I;ph;;;"[('that', 'DT'), (""'s"", 'VBZ'), ('not', 'RB'), ('(', '('), ('=', 'VB'), ('that', 'DT'), ('is', 'VBZ'), ('not', 'RB'), (')', ')')]";"['that', ""'s"", 'not', '(', '=', 'that', 'is', 'not', ')']";None
143;funny;lustig, witzig, komisch;aktiv;1/A2;I;a;;;[('funny', 'NN')];['funny'];['78']
144;book;Buch;aktiv;1/A2;I;s;*book*;ID1330000;[('book', 'NN')];['book'];['82', '83']
145;apple;Apfel;aktiv;1/A2;I;s;;;[('apple', 'NN')];['apple'];['85']
146;now;jetzt, nun;aktiv;1/A2;I;av;;;[('now', 'RB')];['now'];None
147;bag;Tasche;aktiv;1/A2;I;s;;;[('bag', 'NN')];['bag'];['72', '73', '74', '86']
148;heavy;schwer;passiv;1/A2;I;a;;;[('heavy', 'JJ')];['heavy'];['86']
149;or;oder;aktiv;1/A4;I;k;;;[('or', 'CC')];['or'];None
150;room;Zimmer, Raum;aktiv;1/A4;I;s;;;[('room', 'NN')];['room'];None
151;right;richtig;aktiv;1/A4;I;a;*right* <> *wrong*;;[('right', 'NN')];['right'];None
152;wrong;FALSCH;aktiv;1/A4;I;a;;;[('wrong', 'JJ')];['wrong'];['84']
153;next to;neben;aktiv;1/A4;I;pr;*next to*;ID1329975;[('next', 'JJ'), ('to', 'TO')];['next', 'to'];['82']
154;in;in;aktiv;1/A4;I;pr;*in*;ID1329972;[('in', 'IN')];['in'];['72', '73', '74', '87']
155;under;unter;aktiv;1/A4;I;pr;*under*;ID1329974;[('under', 'IN')];['under'];None
156;in front of;vor;aktiv;1/A4;I;pr;*in front of*;ID1329976;[('in', 'IN'), ('front', 'NN'), ('of', 'IN')];['in', 'front', 'of'];None
157;behind;hinter;aktiv;1/A4;I;pr;*behind*;ID1329978;[('behind', 'IN')];['behind'];None
158;between;zwischen;aktiv;1/A4;I;pr;*between*;ID1329977;[('between', 'IN')];['between'];None
159;exercise book;Heft;aktiv;1/A4;I;s;;;[('exercise', 'NN'), ('book', 'NN')];['exercise', 'book'];['83']
160;first;erste(r, s);passiv;1/B;I;a;;;[('first', 'RB')];['first'];['92']
161;at;auf, an, in, bei;aktiv;1/B1;I;pr;George is *at* William Ellis School.;;[('at', 'IN')];['at'];['92', '118', '152', '154', '166', '175']
162;you're (= you are);du bist, ihr seid, Sie sind;aktiv;1/B1;I;ph;;;"[('you', 'PRP'), (""'re"", 'VBP'), ('(', '('), ('=', 'IN'), ('you', 'PRP'), ('are', 'VBP'), (')', ')')]";"['you', ""'re"", '(', '=', 'you', 'are', ')']";['146']
163;late;(zu) spät;aktiv;1/B1;I;a;;ID1389838;[('late', 'RB')];['late'];['97', '144', '188']
164;dad (informal);Papa, Vati;aktiv;1/B1;I;s;;;[('dad', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')')];['dad', '(', 'informal', ')'];None
165;your;dein(e), euer/eure, Ihr(e);passiv;1/B1;I;d;;;[('your', 'PRP$')];['your'];['91', '141', '164', '174']
166;tie;Krawatte;passiv;1/B1;I;s;;;[('tie', 'NN')];['tie'];['91']
167;bye (informal)/goodbye;tschüss;aktiv;1/B1;I;i;;;[('bye', 'NN'), ('(', '('), ('informal', 'JJ'), (')', ')'), ('/goodbye', 'NN')];['bye', '(', 'informal', ')', '/goodbye'];None
168;sorry;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;i;;;[('sorry', 'NN')];['sorry'];['101']
169;(I'm) sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;*Sorry* I'm late.;;"[('(', '('), ('I', 'PRP'), (""'m"", 'VBP'), (')', ')'), ('sorry', 'NN'), ('.', '.')]";"['(', 'I', ""'m"", ')', 'sorry', '.']";None
170;I'm sorry.;Entschuldigung!, Tut mir leid.;aktiv;1/B1;I;ph;;;"[('I', 'PRP'), (""'m"", 'VBP'), ('sorry', 'JJ'), ('.', '.')]";"['I', ""'m"", 'sorry', '.']";None
171;card;Karte;aktiv;1/B1;I;s;;;[('card', 'NN')];['card'];['102', '109', '155']
172;great;groß, riesig, großartig, wunderbar;aktiv;1/B1;I;a;;;[('great', 'JJ')];['great'];['111', '153', '178', '183']
173;thanks;Danke;aktiv;1/B1;I;s;;;[('thanks', 'NNS')];['thanks'];None
174;thank you;Danke;aktiv;1/B1;I;ph;You can have my pen. - *Thank you*.;;[('thank', 'NN'), ('you', 'PRP')];['thank', 'you'];None
175;What about ...? (informal);Was ist mit ...?, Wie wäre es mit ...?;aktiv;1/B1;I;ph;*What about* a game of football?;;[('What', 'WP'), ('about', 'IN'), ('...', ':'), ('?', '.'), ('(', '('), ('informal', 'JJ'), (')', ')')];['What', 'about', '...', '?', '(', 'informal', ')'];['113', '174']
176;after;nach;aktiv;1/B1;I;pr;;;[('after', 'IN')];['after'];['113']
177;idea;Idee, Einfall;aktiv;1/B1;I;s;That's a great *idea*!;;[('idea', 'NN')];['idea'];['114']
178;isn't (= is not);ist nicht;aktiv;1/B1;I;ph;George *isn't* 18.;;"[('is', 'VBZ'), (""n't"", 'RB'), ('(', '('), ('=', 'VB'), ('is', 'VBZ'), ('not', 'RB'), (')', ')')]";"['is', ""n't"", '(', '=', 'is', 'not', ')']";None
179;Dad (informal);Papa, Vati;aktiv;1/B1;I;s;;;[('Dad', 'NNP'), ('(', '('), ('informal', 'JJ'), (')', ')')];['Dad', '(', 'informal', ')'];['93', '95', '98']
180;to be;sein;passiv;1/B4;I;irr;;;[('to', 'TO'), ('be', 'VB')];['to', 'be'];['155', '188']
181;number;Zahl, Ziffer, Nummer;aktiv;1/B4;I;s;1, 4, 7, 10 are *numbers*.;;[('number', 'NN')];['number'];None
182;seven;sieben;aktiv;1/B5;I;a;;;[('seven', 'CD')];['seven'];None
183;one;eins, ein(e, er, es);aktiv;1/B5;I;a;;;[('one', 'CD')];['one'];None
184;two;zwei;aktiv;1/B5;I;a;;;[('two', 'CD')];['two'];None
185;three;drei;aktiv;1/B5;I;a;;;[('three', 'CD')];['three'];None
186;four;vier;aktiv;1/B5;I;a;;;[('four', 'CD')];['four'];None
